Name,ID,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,International prestige,Players,Starting XI average age,href,game
Ecuador,111465,72,67,69,65,Fast,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,9,30,28.18,https://sofifa.com/team/111465/ecuador/,FIFA10
South Africa,111099,72,70,71,67,Fast,Little,Long,Organised,Normal,Lots,Double,High,Normal,Cover,8,27,26.64,https://sofifa.com/team/111099/south-africa/,FIFA10
Northern Ireland,110081,71,66,66,70,Fast,Little,Long,Organised,Normal,Lots,Double,High,Normal,Cover,5,30,27.27,https://sofifa.com/team/110081/northern-ireland/,FIFA10
Slovenia,1361,70,70,67,67,Fast,Little,Long,Organised,Normal,Lots,Double,Medium,Normal,Cover,5,30,25.64,https://sofifa.com/team/1361/slovenia/,FIFA10
Korea Republic,974,70,67,69,65,Fast,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,10,30,26.55,https://sofifa.com/team/974/korea-republic/,FIFA10
China PR,1413,66,63,64,64,Fast,Little,Long,Organised,Normal,Lots,Double,High,Normal,Cover,4,30,26.55,https://sofifa.com/team/1413/china-pr/,FIFA10
New Zealand,111473,62,60,57,58,Fast,Little,Long,Organised,Lots,Lots,Double,High,Normal,Cover,6,30,29.18,https://sofifa.com/team/111473/new-zealand/,FIFA10
Spain,1362,85,83,83,82,Fast,Little,Short,Free form,Normal,Normal,Press,Medium,Wide,Cover,19,30,27.18,https://sofifa.com/team/1362/spain/,FIFA11
Britain,1318,83,81,82,80,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,30,26.27,https://sofifa.com/team/1318/england/,FIFA11
Argentina,1369,83,82,79,78,Balanced,Little,Short,Organised,Normal,Lots,Press,Medium,Normal,Cover,18,30,26.73,https://sofifa.com/team/1369/argentina/,FIFA11
Brazil,1370,83,81,80,82,Balanced,Little,Short,Free form,Normal,Normal,Press,Medium,Normal,Cover,20,30,25.18,https://sofifa.com/team/1370/brazil/,FIFA11
France,1335,82,80,81,81,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,19,30,25.45,https://sofifa.com/team/1335/france/,FIFA11
Germany,1337,82,80,80,79,Fast,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,19,30,24.82,https://sofifa.com/team/1337/germany/,FIFA11
Italy,1343,82,81,79,79,Balanced,Little,Mixed,Free form,Normal,Normal,Press,Medium,Normal,Offside trap,19,30,25.64,https://sofifa.com/team/1343/italy/,FIFA11
Portugal,1354,81,79,78,79,Balanced,Little,Short,Organised,Lots,Normal,Press,Medium,Normal,Cover,16,30,26.0,https://sofifa.com/team/1354/portugal/,FIFA11
Netherlands,105035,81,80,80,76,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,24,26.45,https://sofifa.com/team/105035/netherlands/,FIFA11
Russia,1357,79,78,76,74,Balanced,Little,Mixed,Organised,Normal,Little,Press,Deep,Normal,Cover,12,30,27.18,https://sofifa.com/team/1357/russia/,FIFA11
Croatia,1328,78,77,75,74,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,30,26.36,https://sofifa.com/team/1328/croatia/,FIFA11
Turkey,1365,78,76,76,75,Balanced,Little,Short,Organised,Lots,Normal,Press,Deep,Normal,Cover,14,30,26.91,https://sofifa.com/team/1365/turkiye/,FIFA11
Uruguay,1377,78,79,74,74,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Deep,Normal,Cover,11,30,26.09,https://sofifa.com/team/1377/uruguay/,FIFA11
Belgium,1325,77,74,74,76,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,30,24.0,https://sofifa.com/team/1325/belgium/,FIFA11
Czechia,1330,77,72,71,73,Balanced,Little,Short,Organised,Normal,Normal,Contain,Medium,Normal,Offside trap,15,30,27.09,https://sofifa.com/team/1330/czechia/,FIFA11
Mexico,1386,77,75,72,74,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,15,30,25.82,https://sofifa.com/team/1386/mexico/,FIFA11
Cameroon,1395,77,72,73,71,Balanced,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,13,30,25.82,https://sofifa.com/team/1395/cameroon/,FIFA11
Republic of Ireland,1355,76,74,72,71,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,30,28.09,https://sofifa.com/team/1355/republic-of-ireland/,FIFA11
Sweden,1363,76,76,73,74,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,30,27.27,https://sofifa.com/team/1363/sweden/,FIFA11
Switzerland,1364,76,74,73,74,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,30,25.82,https://sofifa.com/team/1364/switzerland/,FIFA11
Denmark,1331,75,73,74,73,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,12,30,26.18,https://sofifa.com/team/1331/denmark/,FIFA11
Greece,1338,75,72,72,73,Slow,Little,Mixed,Organised,Lots,Normal,Double,Deep,Normal,Cover,13,30,25.55,https://sofifa.com/team/1338/greece/,FIFA11
Norway,1352,75,75,74,74,Fast,Little,Mixed,Organised,Lots,Normal,Double,Deep,Normal,Cover,10,30,28.55,https://sofifa.com/team/1352/norway/,FIFA11
Scotland,1359,75,74,73,72,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,30,27.27,https://sofifa.com/team/1359/scotland/,FIFA11
United States,1387,75,71,73,71,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,30,26.73,https://sofifa.com/team/1387/united-states/,FIFA11
Poland,1353,74,72,71,70,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,30,24.73,https://sofifa.com/team/1353/poland/,FIFA11
Austria,1322,73,72,69,73,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,30,24.91,https://sofifa.com/team/1322/austria/,FIFA11
Australia,1415,73,70,70,68,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,11,30,29.64,https://sofifa.com/team/1415/australia/,FIFA11
Bulgaria,1327,72,70,71,67,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,30,26.73,https://sofifa.com/team/1327/bulgaria/,FIFA11
Romania,1356,72,69,70,71,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,10,30,25.09,https://sofifa.com/team/1356/romania/,FIFA11
Hungary,1886,72,72,70,68,Slow,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,7,30,25.36,https://sofifa.com/team/1886/hungary/,FIFA11
Ecuador,111465,72,71,66,64,Balanced,Little,Mixed,Organised,Little,Normal,Press,Medium,Normal,Cover,9,30,30.09,https://sofifa.com/team/111465/ecuador/,FIFA11
South Africa,111099,72,69,69,66,Balanced,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,8,30,24.73,https://sofifa.com/team/111099/south-africa/,FIFA11
Northern Ireland,110081,71,66,68,69,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,5,30,28.09,https://sofifa.com/team/110081/northern-ireland/,FIFA11
Finland,1334,71,67,71,69,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,30,27.64,https://sofifa.com/team/1334/finland/,FIFA11
Slovenia,1361,71,69,71,69,Fast,Little,Mixed,Organised,Normal,Normal,Double,Medium,Wide,Cover,5,30,26.0,https://sofifa.com/team/1361/slovenia/,FIFA11
Korea Republic,974,70,70,68,66,Fast,Little,Mixed,Organised,Little,Normal,Press,Medium,Normal,Cover,12,30,23.64,https://sofifa.com/team/974/korea-republic/,FIFA11
China PR,1413,65,61,60,61,Fast,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,30,24.73,https://sofifa.com/team/1413/china-pr/,FIFA11
New Zealand,111473,64,64,58,61,Slow,Little,Long,Organised,Normal,Normal,Double,Deep,Normal,Cover,6,28,28.27,https://sofifa.com/team/111473/new-zealand/,FIFA11
Spain,1362,87,84,86,83,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,25,27.0,https://sofifa.com/team/1362/spain/,FIFA12
Germany,1337,84,82,84,80,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,19,25,24.64,https://sofifa.com/team/1337/germany/,FIFA12
Britain,1318,83,82,83,81,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,17,25,26.73,https://sofifa.com/team/1318/england/,FIFA12
France,1335,83,81,81,82,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,18,25,26.27,https://sofifa.com/team/1335/france/,FIFA12
Italy,1343,83,83,82,80,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,19,25,27.73,https://sofifa.com/team/1343/italy/,FIFA12
Brazil,1370,83,83,81,83,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,25,25.18,https://sofifa.com/team/1370/brazil/,FIFA12
Portugal,1354,82,80,80,79,Balanced,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,16,25,25.91,https://sofifa.com/team/1354/portugal/,FIFA12
Netherlands,105035,82,81,81,75,Slow,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,25,27.64,https://sofifa.com/team/105035/netherlands/,FIFA12
Argentina,1369,82,86,79,77,Slow,Little,Mixed,Free form,Normal,Lots,Press,Medium,Normal,Cover,18,25,26.64,https://sofifa.com/team/1369/argentina/,FIFA12
Belgium,1325,79,76,77,78,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,25,24.45,https://sofifa.com/team/1325/belgium/,FIFA12
Russia,1357,79,77,78,76,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,25,29.0,https://sofifa.com/team/1357/russia/,FIFA12
Uruguay,1377,79,81,74,77,Fast,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,25,26.64,https://sofifa.com/team/1377/uruguay/,FIFA12
Côte d'Ivoire,111112,78,80,75,73,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Wide,Cover,11,25,28.36,https://sofifa.com/team/111112/cote-divoire/,FIFA12
Croatia,1328,78,78,78,74,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,13,25,27.73,https://sofifa.com/team/1328/croatia/,FIFA12
Colombia,111109,77,77,74,72,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,25,25.55,https://sofifa.com/team/111109/colombia/,FIFA12
Republic of Ireland,1355,77,75,74,72,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,25,28.91,https://sofifa.com/team/1355/republic-of-ireland/,FIFA12
Sweden,1363,77,75,77,73,Balanced,Little,Short,Organised,Normal,Lots,Press,Medium,Normal,Cover,11,25,28.91,https://sofifa.com/team/1363/sweden/,FIFA12
Turkey,1365,77,74,78,73,Balanced,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,14,25,26.73,https://sofifa.com/team/1365/turkiye/,FIFA12
Denmark,1331,76,73,73,73,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,25,27.18,https://sofifa.com/team/1331/denmark/,FIFA12
Poland,1353,76,74,74,72,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,25,26.0,https://sofifa.com/team/1353/poland/,FIFA12
Switzerland,1364,76,71,74,74,Balanced,Little,Mixed,Organised,Normal,Little,Press,Medium,Normal,Cover,11,25,23.91,https://sofifa.com/team/1364/switzerland/,FIFA12
Chile,111459,76,76,74,70,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,25,26.73,https://sofifa.com/team/111459/chile/,FIFA12
Mexico,1386,76,76,73,74,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,25,26.27,https://sofifa.com/team/1386/mexico/,FIFA12
Cameroon,1395,76,74,73,75,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,12,25,25.36,https://sofifa.com/team/1395/cameroon/,FIFA12
Greece,1338,75,73,73,75,Slow,Little,Mixed,Organised,Normal,Normal,Contain,Deep,Normal,Cover,13,25,27.27,https://sofifa.com/team/1338/greece/,FIFA12
United States,1387,75,70,74,72,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,25,27.0,https://sofifa.com/team/1387/united-states/,FIFA12
Peru,111108,74,69,71,66,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,25,28.0,https://sofifa.com/team/111108/peru/,FIFA12
Austria,1322,74,75,71,72,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,25,24.64,https://sofifa.com/team/1322/austria/,FIFA12
Norway,1352,74,73,73,73,Fast,Little,Mixed,Organised,Normal,Normal,Press,Deep,Normal,Cover,9,25,27.55,https://sofifa.com/team/1352/norway/,FIFA12
Scotland,1359,74,73,73,73,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,25,26.18,https://sofifa.com/team/1359/scotland/,FIFA12
Slovenia,1361,74,72,72,68,Fast,Little,Mixed,Organised,Lots,Normal,Press,Medium,Wide,Cover,10,25,27.73,https://sofifa.com/team/1361/slovenia/,FIFA12
Romania,1356,73,74,69,69,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,25,26.73,https://sofifa.com/team/1356/romania/,FIFA12
Ecuador,111465,73,72,73,67,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,7,25,26.0,https://sofifa.com/team/111465/ecuador/,FIFA12
Hungary,1886,72,68,70,67,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Deep,Normal,Cover,7,25,26.27,https://sofifa.com/team/1886/hungary/,FIFA12
Australia,1415,72,70,69,68,Balanced,Little,Mixed,Organised,Lots,Little,Press,Medium,Normal,Cover,11,25,29.18,https://sofifa.com/team/1415/australia/,FIFA12
Northern Ireland,110081,71,65,69,70,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,5,25,24.09,https://sofifa.com/team/110081/northern-ireland/,FIFA12
Bulgaria,1327,71,69,68,67,Balanced,Little,Mixed,Organised,Normal,Little,Contain,Medium,Normal,Cover,10,25,26.18,https://sofifa.com/team/1327/bulgaria/,FIFA12
Finland,1334,71,68,70,67,Balanced,Little,Mixed,Organised,Normal,Normal,Contain,Deep,Normal,Cover,6,25,24.73,https://sofifa.com/team/1334/finland/,FIFA12
Korea Republic,974,71,72,70,68,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,25,23.64,https://sofifa.com/team/974/korea-republic/,FIFA12
South Africa,111099,71,70,71,67,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,8,25,26.64,https://sofifa.com/team/111099/south-africa/,FIFA12
Egypt,111130,69,66,67,67,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,25,28.91,https://sofifa.com/team/111130/egypt/,FIFA12
New Zealand,111473,67,67,62,62,Balanced,Little,Mixed,Organised,Normal,Little,Press,Deep,Normal,Cover,6,25,29.27,https://sofifa.com/team/111473/new-zealand/,FIFA12
Spain,1362,86,84,86,83,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,23,27.27,https://sofifa.com/team/1362/spain/,FIFA13
Germany,1337,84,85,84,82,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,19,23,25.55,https://sofifa.com/team/1337/germany/,FIFA13
Italy,1343,83,80,84,81,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,19,23,27.09,https://sofifa.com/team/1343/italy/,FIFA13
Argentina,1369,82,85,80,78,Slow,Little,Mixed,Free form,Normal,Lots,Press,Medium,Normal,Cover,18,23,24.82,https://sofifa.com/team/1369/argentina/,FIFA13
Brazil,1370,82,83,81,82,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,23,25.18,https://sofifa.com/team/1370/brazil/,FIFA13
Britain,1318,81,84,79,81,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,23,27.0,https://sofifa.com/team/1318/england/,FIFA13
France,1335,81,82,78,80,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,18,23,24.82,https://sofifa.com/team/1335/france/,FIFA13
Belgium,1325,80,79,79,79,Slow,Little,Mixed,Organised,Normal,Little,Press,Medium,Normal,Cover,10,23,23.91,https://sofifa.com/team/1325/belgium/,FIFA13
Portugal,1354,80,82,82,80,Balanced,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,16,23,26.55,https://sofifa.com/team/1354/portugal/,FIFA13
Netherlands,105035,80,85,79,75,Balanced,Little,Mixed,Organised,Normal,Normal,Press,High,Normal,Cover,17,23,24.09,https://sofifa.com/team/105035/netherlands/,FIFA13
Uruguay,1377,79,84,77,78,Fast,Little,Mixed,Organised,Little,Lots,Press,Deep,Normal,Cover,14,23,27.27,https://sofifa.com/team/1377/uruguay/,FIFA13
Colombia,111109,78,80,75,77,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,23,27.27,https://sofifa.com/team/111109/colombia/,FIFA13
Russia,1357,78,78,78,76,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,23,27.64,https://sofifa.com/team/1357/russia/,FIFA13
Côte d'Ivoire,111112,77,79,77,72,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,11,23,26.45,https://sofifa.com/team/111112/cote-divoire/,FIFA13
Turkey,1365,77,78,76,74,Balanced,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,14,23,24.82,https://sofifa.com/team/1365/turkiye/,FIFA13
Switzerland,1364,76,75,77,75,Balanced,Little,Mixed,Organised,Normal,Little,Press,Medium,Normal,Cover,11,23,24.91,https://sofifa.com/team/1364/switzerland/,FIFA13
Chile,111459,76,78,76,72,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,23,26.82,https://sofifa.com/team/111459/chile/,FIFA13
Cameroon,1395,76,79,76,76,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,12,23,27.27,https://sofifa.com/team/1395/cameroon/,FIFA13
Czechia,1330,75,73,74,75,Slow,Little,Mixed,Free form,Normal,Normal,Press,Medium,Normal,Cover,14,23,27.18,https://sofifa.com/team/1330/czechia/,FIFA13
Sweden,1363,75,81,75,73,Balanced,Little,Short,Organised,Normal,Lots,Press,Medium,Normal,Cover,11,23,25.73,https://sofifa.com/team/1363/sweden/,FIFA13
Mexico,1386,75,76,73,74,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,23,26.64,https://sofifa.com/team/1386/mexico/,FIFA13
Austria,1322,74,73,75,74,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,23,23.91,https://sofifa.com/team/1322/austria/,FIFA13
Denmark,1331,74,72,74,75,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,23,27.55,https://sofifa.com/team/1331/denmark/,FIFA13
Greece,1338,74,74,72,76,Balanced,Little,Mixed,Organised,Normal,Normal,Contain,Deep,Normal,Cover,13,23,28.27,https://sofifa.com/team/1338/greece/,FIFA13
Poland,1353,74,79,74,67,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,23,24.45,https://sofifa.com/team/1353/poland/,FIFA13
Republic of Ireland,1355,74,74,74,72,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,23,28.18,https://sofifa.com/team/1355/republic-of-ireland/,FIFA13
Paraguay,1375,74,79,73,70,Slow,Little,Mixed,Organised,Little,Normal,Press,Deep,Normal,Cover,11,23,29.73,https://sofifa.com/team/1375/paraguay/,FIFA13
United States,1387,74,74,77,67,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,23,26.91,https://sofifa.com/team/1387/united-states/,FIFA13
Norway,1352,73,79,71,72,Fast,Little,Mixed,Organised,Normal,Normal,Press,Deep,Normal,Cover,9,23,24.73,https://sofifa.com/team/1352/norway/,FIFA13
Scotland,1359,73,74,74,71,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,9,23,27.09,https://sofifa.com/team/1359/scotland/,FIFA13
Peru,111108,72,76,69,69,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,23,27.0,https://sofifa.com/team/111108/peru/,FIFA13
Slovenia,1361,72,72,69,71,Fast,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,10,23,26.36,https://sofifa.com/team/1361/slovenia/,FIFA13
Romania,1356,71,73,69,69,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,23,26.73,https://sofifa.com/team/1356/romania/,FIFA13
Ecuador,111465,71,72,73,66,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,7,23,26.0,https://sofifa.com/team/111465/ecuador/,FIFA13
Venezuela,111487,71,74,69,70,Slow,Little,Short,Organised,Little,Little,Press,Deep,Normal,Cover,5,23,27.27,https://sofifa.com/team/111487/venezuela/,FIFA13
Korea Republic,974,71,75,69,70,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,23,24.73,https://sofifa.com/team/974/korea-republic/,FIFA13
Northern Ireland,110081,70,70,68,69,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,5,23,26.73,https://sofifa.com/team/110081/northern-ireland/,FIFA13
Finland,1334,70,66,71,69,Balanced,Little,Mixed,Organised,Normal,Normal,Contain,Deep,Normal,Cover,6,23,24.91,https://sofifa.com/team/1334/finland/,FIFA13
Australia,1415,70,68,69,68,Balanced,Little,Mixed,Organised,Lots,Little,Press,Medium,Normal,Cover,11,23,29.36,https://sofifa.com/team/1415/australia/,FIFA13
South Africa,111099,70,68,69,68,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,8,23,24.73,https://sofifa.com/team/111099/south-africa/,FIFA13
Hungary,1886,69,69,68,67,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,7,23,24.45,https://sofifa.com/team/1886/hungary/,FIFA13
Egypt,111130,68,66,67,68,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,23,27.64,https://sofifa.com/team/111130/egypt/,FIFA13
Bulgaria,1327,68,69,67,66,Balanced,Little,Mixed,Organised,Normal,Little,Contain,Medium,Normal,Cover,10,23,26.82,https://sofifa.com/team/1327/bulgaria/,FIFA13
Bolivia,111451,66,71,64,65,Slow,Little,Short,Organised,Little,Normal,Press,Medium,Normal,Cover,2,23,27.0,https://sofifa.com/team/111451/bolivia/,FIFA13
New Zealand,111473,65,66,58,64,Balanced,Little,Mixed,Organised,Normal,Little,Press,Deep,Normal,Cover,6,23,27.36,https://sofifa.com/team/111473/new-zealand/,FIFA13
India,111466,58,60,56,57,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Deep,Normal,Cover,1,23,25.55,https://sofifa.com/team/111466/india/,FIFA13
Spain,1362,84,86,84,82,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,23,26.09,https://sofifa.com/team/1362/spain/,FIFA14
Germany,1337,83,82,84,78,Fast,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,19,23,23.91,https://sofifa.com/team/1337/germany/,FIFA14
Brazil,1370,83,83,81,83,Balanced,Lots,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,23,25.91,https://sofifa.com/team/1370/brazil/,FIFA14
Argentina,1369,82,85,82,79,Slow,Lots,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,18,23,27.09,https://sofifa.com/team/1369/argentina/,FIFA14
Belgium,1325,81,75,81,79,Slow,Normal,Mixed,Organised,Normal,Little,Press,Medium,Normal,Cover,10,23,23.82,https://sofifa.com/team/1325/belgium/,FIFA14
France,1335,81,82,80,80,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,18,23,25.09,https://sofifa.com/team/1335/france/,FIFA14
Britain,1318,80,85,79,78,Balanced,Normal,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,17,23,22.91,https://sofifa.com/team/1318/england/,FIFA14
Italy,1343,80,79,78,78,Balanced,Normal,Mixed,Organised,Lots,Normal,Press,Deep,Normal,Cover,19,23,25.82,https://sofifa.com/team/1343/italy/,FIFA14
Portugal,1354,80,82,79,80,Balanced,Normal,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,16,23,27.45,https://sofifa.com/team/1354/portugal/,FIFA14
Netherlands,105035,79,84,76,75,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,23,25.18,https://sofifa.com/team/105035/netherlands/,FIFA14
Turkey,1365,78,76,79,76,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,14,23,25.27,https://sofifa.com/team/1365/turkiye/,FIFA14
Colombia,111109,77,77,78,75,Balanced,Lots,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,23,26.73,https://sofifa.com/team/111109/colombia/,FIFA14
Russia,1357,77,76,75,75,Balanced,Normal,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,12,23,27.36,https://sofifa.com/team/1357/russia/,FIFA14
Côte d'Ivoire,111112,76,77,74,74,Balanced,Normal,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,11,23,27.55,https://sofifa.com/team/111112/cote-divoire/,FIFA14
Switzerland,1364,76,74,76,77,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,23,23.64,https://sofifa.com/team/1364/switzerland/,FIFA14
Uruguay,1377,76,82,75,76,Fast,Normal,Mixed,Organised,Little,Lots,Press,Deep,Normal,Cover,12,23,28.09,https://sofifa.com/team/1377/uruguay/,FIFA14
Chile,111459,76,77,75,70,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,23,25.55,https://sofifa.com/team/111459/chile/,FIFA14
Czechia,1330,75,73,74,73,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,14,23,26.36,https://sofifa.com/team/1330/czechia/,FIFA14
Poland,1353,75,77,73,74,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,23,26.18,https://sofifa.com/team/1353/poland/,FIFA14
Sweden,1363,75,77,74,74,Balanced,Normal,Short,Organised,Normal,Lots,Press,Medium,Normal,Cover,11,23,27.64,https://sofifa.com/team/1363/sweden/,FIFA14
Cameroon,1395,75,75,73,76,Balanced,Normal,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,12,23,25.55,https://sofifa.com/team/1395/cameroon/,FIFA14
Denmark,1331,74,75,74,74,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,23,24.09,https://sofifa.com/team/1331/denmark/,FIFA14
