Name,ID,League,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,href,country,game
Cork City,422,Premier Division,56,54,50,57,200000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,Medium,Normal,Cover,18,2,18,24.64,24.56,https://sofifa.com/team/422/cork-city/,Republic of Ireland,FIFA10
Derry City,445,Premier Division,56,57,54,56,220000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,Medium,Normal,Cover,16,2,19,24.64,23.47,https://sofifa.com/team/445/derry-city/,Republic of Ireland,FIFA10
Grimsby Town,92,League Two,55,55,54,52,500000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,High,Wide,Cover,3,2,29,24.18,22.72,https://sofifa.com/team/92/grimsby-town/,Britain,FIFA10
Morecambe,357,League Two,55,55,55,54,300000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,High,Wide,Cover,2,1,26,27.64,25.96,https://sofifa.com/team/357/morecambe/,Britain,FIFA10
Macclesfield Town,1959,League Two,55,51,53,52,350000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,High,Wide,Cover,2,1,28,25.0,22.93,https://sofifa.com/team/1959/macclesfield-town/,Britain,FIFA10
Gangwon FC,112115,K League 1,55,53,52,52,350000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,High,Normal,Offside trap,2,1,30,25.64,24.23,https://sofifa.com/team/112115/gangwon-fc/,Korea Republic,FIFA10
Sligo Rovers,563,Premier Division,54,52,50,51,150000.0,0.0,Fast,Little,Long,Organised,Lots,Little,Double,Medium,Normal,Cover,11,1,26,24.09,23.27,https://sofifa.com/team/563/sligo-rovers/,Republic of Ireland,FIFA10
Dundalk,837,Premier Division,54,53,54,52,100000.0,0.0,Fast,Little,Short,Organised,Lots,Normal,Double,Deep,Normal,Cover,7,1,22,26.27,25.05,https://sofifa.com/team/837/dundalk/,Republic of Ireland,FIFA10
Hereford United,147,League Two,54,53,50,51,450000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,High,Wide,Cover,3,1,22,24.27,23.73,https://sofifa.com/team/147/hereford-united/,Britain,FIFA10
Accrington Stanley,110313,League Two,54,53,51,51,300000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,High,Wide,Cover,2,1,26,21.73,21.04,https://sofifa.com/team/110313/accrington-stanley/,Britain,FIFA10
Drogheda United,1572,Premier Division,53,52,52,49,230000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,Medium,Normal,Cover,17,1,26,23.55,23.58,https://sofifa.com/team/1572/drogheda-united/,Republic of Ireland,FIFA10
FC Lausanne-Sport,1862,Challenge League,53,57,50,50,500000.0,0.0,Slow,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,1,23,25.18,23.04,https://sofifa.com/team/1862/fc-lausanne-sport/,Switzerland,FIFA10
Dagenham & Redbridge,373,League Two,52,55,54,55,350000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,High,Wide,Cover,3,1,28,25.18,23.68,https://sofifa.com/team/373/dagenham-redbridge/,Britain,FIFA10
Bray Wanderers,838,Premier Division,51,52,51,54,170000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,Medium,Normal,Offside trap,11,1,29,20.36,21.62,https://sofifa.com/team/838/bray-wanderers/,Republic of Ireland,FIFA10
Galway United,1571,Premier Division,50,58,49,50,100000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,Medium,Normal,Cover,10,1,21,22.55,22.43,https://sofifa.com/team/1571/galway-united/,Republic of Ireland,FIFA10
Chelsea,5,Premier League,83,73,77,77,60000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Lots,Press,Medium,Normal,Cover,20,19,32,27.82,24.44,https://sofifa.com/team/5/chelsea/,Britain,FIFA11
FC Barcelona,241,La Liga,83,82,80,79,90000000.0,0.0,Balanced,Little,Mixed,Free form,Little,Lots,Press,High,Wide,Cover,20,20,25,26.36,25.0,https://sofifa.com/team/241/fc-barcelona/,Spain,FIFA11
Real Madrid,243,La Liga,83,74,77,79,98400000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Lots,Press,High,Normal,Cover,20,20,35,25.55,23.26,https://sofifa.com/team/243/real-madrid/,Spain,FIFA11
Manchester City,10,Premier League,82,73,76,76,108000000.0,0.0,Fast,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,18,16,35,25.18,23.43,https://sofifa.com/team/10/manchester-city/,Britain,FIFA11
Manchester United,11,Premier League,82,74,75,78,39600000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,19,19,35,28.36,24.71,https://sofifa.com/team/11/manchester-united/,Britain,FIFA11
Inter,44,Serie A,82,76,74,77,40000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Normal,Press,Medium,Normal,Cover,20,19,33,29.45,25.88,https://sofifa.com/team/44/inter/,Italy,FIFA11
Arsenal,1,Premier League,81,76,76,76,35000000.0,0.0,Fast,Little,Mixed,Free form,Normal,Normal,Press,Medium,Normal,Cover,19,18,31,22.82,22.74,https://sofifa.com/team/1/arsenal/,Britain,FIFA11
FC Bayern München,21,Bundesliga,81,76,79,77,54000000.0,0.0,Balanced,Little,Mixed,Organised,Little,Lots,Press,Medium,Normal,Cover,20,19,23,24.64,24.91,https://sofifa.com/team/21/fc-bayern-munchen/,Germany,FIFA11
Liverpool,9,Premier League,80,73,73,72,30000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,18,18,35,26.36,23.0,https://sofifa.com/team/9/liverpool/,Britain,FIFA11
Tottenham Hotspur,18,Premier League,80,75,78,74,30000000.0,0.0,Balanced,Little,Mixed,Free form,Lots,Lots,Press,Deep,Normal,Cover,17,14,33,26.0,24.94,https://sofifa.com/team/18/tottenham-hotspur/,Britain,FIFA11
AC Milan,47,Serie A,80,77,76,75,31200000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Offside trap,19,19,35,28.09,26.97,https://sofifa.com/team/47/ac-milan/,Italy,FIFA11
Olympique Lyonnais,66,Ligue 1,80,74,73,71,26400000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,17,17,32,26.09,22.59,https://sofifa.com/team/66/olympique-lyonnais/,France,FIFA11
Juventus,45,Serie A,79,74,76,73,30000000.0,0.0,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,20,18,35,26.18,25.14,https://sofifa.com/team/45/juventus/,Italy,FIFA11
Roma,52,Serie A,79,77,78,75,10000000.0,0.0,Balanced,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Offside trap,18,16,26,29.45,27.96,https://sofifa.com/team/52/roma/,Italy,FIFA11
Valencia CF,461,La Liga,79,78,73,72,21600000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,17,35,26.09,24.97,https://sofifa.com/team/461/valencia-cf/,Spain,FIFA11
Sevilla FC,481,La Liga,79,73,74,74,24000000.0,0.0,Fast,Little,Mixed,Free form,Lots,Lots,Press,Medium,Wide,Cover,17,17,35,27.55,24.17,https://sofifa.com/team/481/sevilla-fc/,Spain,FIFA11
Atlético Madrid,240,La Liga,79,70,72,71,20400000.0,0.0,Balanced,Little,Mixed,Organised,Lots,Lots,Press,Medium,Normal,Cover,18,16,35,25.09,22.71,https://sofifa.com/team/240/atletico-madrid/,Spain,FIFA11
Aston Villa,2,Premier League,78,77,72,75,18000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,16,13,31,26.36,25.13,https://sofifa.com/team/2/aston-villa/,Britain,FIFA11
Everton,7,Premier League,78,69,72,70,15000000.0,0.0,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,15,13,34,27.64,22.47,https://sofifa.com/team/7/everton/,Britain,FIFA11
Hamburger SV,28,Bundesliga,78,74,72,71,15000000.0,0.0,Balanced,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,15,31,29.09,24.74,https://sofifa.com/team/28/hamburger-sv/,Germany,FIFA11
Bayer 04 Leverkusen,32,Bundesliga,78,76,79,75,11000000.0,0.0,Fast,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,14,22,25.73,25.09,https://sofifa.com/team/32/bayer-04-leverkusen/,Germany,FIFA11
SV Werder Bremen,38,Bundesliga,78,70,72,71,16000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Wide,Cover,18,16,34,26.91,24.12,https://sofifa.com/team/38/sv-werder-bremen/,Germany,FIFA11
Zenit,100769,Premier League,78,69,71,71,40000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Lots,Press,Medium,Wide,Cover,19,14,28,27.27,25.39,https://sofifa.com/team/100769/zenit/,Russia,FIFA11
VfL Wolfsburg,175,Bundesliga,78,72,72,71,30000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,12,32,27.0,24.78,https://sofifa.com/team/175/vfl-wolfsburg/,Germany,FIFA11
Olympique de Marseille,219,Ligue 1,78,73,75,71,20400000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,20,16,28,27.27,25.18,https://sofifa.com/team/219/olympique-de-marseille/,France,FIFA11
Villarreal CF,483,La Liga,78,80,77,74,17000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Lots,Press,Medium,Normal,Cover,17,15,23,27.0,25.83,https://sofifa.com/team/483/villarreal-cf/,Spain,FIFA11
SL Benfica,234,Primeira Liga,78,77,77,73,15000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Normal,Press,Medium,Normal,Cover,19,15,27,24.64,24.67,https://sofifa.com/team/234/sl-benfica/,Portugal,FIFA11
FC Porto,236,Primeira Liga,78,80,77,76,16800000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,15,24,24.64,24.13,https://sofifa.com/team/236/fc-porto/,Portugal,FIFA11
Borussia Dortmund,22,Bundesliga,77,71,75,75,7500000.0,0.0,Fast,Little,Mixed,Organised,Normal,Normal,Double,Medium,Normal,Cover,17,14,28,22.45,23.43,https://sofifa.com/team/22/borussia-dortmund/,Germany,FIFA11
FC Schalke 04,34,Bundesliga,77,74,73,71,18000000.0,0.0,Balanced,Little,Mixed,Organised,Lots,Normal,Double,Medium,Normal,Cover,18,15,35,25.27,24.69,https://sofifa.com/team/34/fc-schalke-04/,Germany,FIFA11
Fiorentina,110374,Serie A,77,73,74,72,15000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Offside trap,17,14,32,26.64,23.97,https://sofifa.com/team/110374/fiorentina/,Italy,FIFA11
FC Girondins de Bordeaux,59,Ligue 1,77,72,74,73,12000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,15,28,26.55,24.21,https://sofifa.com/team/59/fc-girondins-de-bordeaux/,France,FIFA11
Galatasaray SK,325,Süper Lig,77,72,71,69,15000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,14,30,28.27,24.97,https://sofifa.com/team/325/galatasaray-sk/,Turkey,FIFA11
Fenerbahçe SK,326,Süper Lig,77,76,76,67,25000000.0,0.0,Balanced,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,13,26,27.36,25.69,https://sofifa.com/team/326/fenerbahce-sk/,Turkey,FIFA11
Fulham FC,144,Premier League,77,71,71,72,12000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,13,35,29.27,25.71,https://sofifa.com/team/144/fulham-fc/,Britain,FIFA11
Genoa,110556,Serie A,77,70,70,73,25000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,12,31,27.91,24.0,https://sofifa.com/team/110556/genoa/,Italy,FIFA11
Olympiacos FC,280,Super League,76,74,72,73,10000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Wide,Cover,20,13,25,27.18,26.12,https://sofifa.com/team/280/olympiacos-fc/,Greece,FIFA11
Sampdoria,1837,Serie A,76,73,73,70,8000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,14,11,28,26.09,23.89,https://sofifa.com/team/1837/sampdoria/,Italy,FIFA11
Napoli,48,Serie A,76,77,75,75,18600000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Normal,Double,Medium,Normal,Cover,15,12,26,27.55,27.15,https://sofifa.com/team/48/napoli/,Italy,FIFA11
Palermo FC,1843,Serie A,76,71,70,72,14000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Normal,Press,Medium,Normal,Cover,15,10,28,24.64,22.54,https://sofifa.com/team/1843/palermo-fc/,Italy,FIFA11
Lille OSC,65,Ligue 1,76,71,71,68,6000000.0,0.0,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,12,10,28,25.18,23.68,https://sofifa.com/team/65/lille-osc/,France,FIFA11
Beşiktaş JK,327,Süper Lig,76,78,70,72,30000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Offside trap,20,13,25,26.91,26.24,https://sofifa.com/team/327/besiktas-jk/,Turkey,FIFA11
Paris Saint-Germain,73,Ligue 1,76,72,73,71,10000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,19,15,28,26.91,24.93,https://sofifa.com/team/73/paris-saint-germain/,France,FIFA11
Birmingham City,88,Premier League,76,72,70,72,11000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Deep,Normal,Cover,12,9,33,27.45,25.36,https://sofifa.com/team/88/birmingham-city/,Britain,FIFA11
Rubin Kazan,110227,Premier League,76,68,69,71,12500000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Deep,Normal,Cover,17,13,30,25.73,24.57,https://sofifa.com/team/110227/rubin-kazan/,Russia,FIFA11
Athletic Club,448,La Liga,76,70,73,69,8500000.0,0.0,Fast,Little,Long,Organised,Lots,Normal,Double,Medium,Normal,Cover,15,13,35,24.82,23.31,https://sofifa.com/team/448/athletic-club/,Spain,FIFA11
Sporting CP,237,Primeira Liga,76,74,75,73,9000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,12,27,25.91,25.93,https://sofifa.com/team/237/sporting-cp/,Portugal,FIFA11
Blackburn Rovers,3,Premier League,75,72,72,70,14400000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,14,12,34,27.27,24.26,https://sofifa.com/team/3/blackburn-rovers/,Britain,FIFA11
Bolton Wanderers,4,Premier League,75,70,74,72,13200000.0,0.0,Balanced,Little,Long,Organised,Lots,Normal,Press,Medium,Normal,Cover,13,12,31,27.64,25.42,https://sofifa.com/team/4/bolton-wanderers/,Britain,FIFA11
West Ham United,19,Premier League,75,73,72,71,10800000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,13,35,27.0,25.26,https://sofifa.com/team/19/west-ham-united/,Britain,FIFA11
Internacional,1048,Série A,75,73,73,71,4000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Lots,Press,Medium,Normal,Cover,17,10,30,28.64,25.77,https://sofifa.com/team/1048/internacional/,Brazil,FIFA11
VfB Stuttgart,36,Bundesliga,75,73,73,71,12000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,14,28,24.45,24.54,https://sofifa.com/team/36/vfb-stuttgart/,Germany,FIFA11
TSG 1899 Hoffenheim,10029,Bundesliga,75,69,72,69,15000000.0,0.0,Fast,Little,Mixed,Organised,Normal,Lots,Press,High,Normal,Cover,14,10,30,23.36,22.5,https://sofifa.com/team/10029/tsg-1899-hoffenheim/,Germany,FIFA11
Lazio,46,Serie A,75,73,74,74,15000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Normal,Press,Medium,Normal,Cover,16,11,30,27.64,27.7,https://sofifa.com/team/46/lazio/,Italy,FIFA11
PFC CSKA,315,Premier League,75,73,68,72,21500000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Offside trap,19,14,30,25.18,23.03,https://sofifa.com/team/315/pfc-cska/,Russia,FIFA11
Getafe CF,1860,La Liga,75,69,71,69,9000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,12,35,25.64,24.26,https://sofifa.com/team/1860/getafe-cf/,Spain,FIFA11
Panathinaikos FC,1884,Super League,75,75,72,69,10000000.0,0.0,Fast,Little,Mixed,Organised,Little,Normal,Press,Medium,Normal,Cover,14,13,27,27.27,26.52,https://sofifa.com/team/1884/panathinaikos-fc/,Greece,FIFA11
Sporting Clube de Braga,1896,Primeira Liga,75,73,69,69,700000.0,0.0,Slow,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,9,25,26.82,26.52,https://sofifa.com/team/1896/sporting-clube-de-braga/,Portugal,FIFA11
Sunderland,106,Premier League,75,70,73,70,15000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,10,29,25.45,23.48,https://sofifa.com/team/106/sunderland/,Britain,FIFA11
Spartak Moscow,100767,Premier League,75,73,69,71,19000000.0,0.0,Fast,Little,Short,Organised,Normal,Lots,Press,Medium,Normal,Cover,20,13,30,24.45,22.07,https://sofifa.com/team/100767/spartak-moscow/,Russia,FIFA11
RC Deportivo de La Coruña,242,La Liga,75,70,70,71,750000.0,0.0,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Wide,Cover,18,13,35,27.64,25.34,https://sofifa.com/team/242/rc-deportivo-de-la-coruna/,Spain,FIFA11
Ajax,245,Eredivisie,75,69,71,72,23000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Lots,Press,Medium,Normal,Cover,20,15,30,22.64,23.27,https://sofifa.com/team/245/ajax/,Netherlands,FIFA11
PSV,247,Eredivisie,75,70,68,69,6000000.0,0.0,Balanced,Little,Short,Organised,Normal,Lots,Press,Medium,Normal,Offside trap,20,14,30,25.55,22.63,https://sofifa.com/team/247/psv/,Netherlands,FIFA11
Newcastle United,13,Premier League,74,71,70,70,15500000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,15,12,34,26.09,23.74,https://sofifa.com/team/13/newcastle-united/,Britain,FIFA11
Stoke City,1806,Premier League,74,72,69,70,8000000.0,0.0,Balanced,Little,Long,Organised,Lots,Normal,Press,Deep,Normal,Cover,11,8,31,27.0,26.03,https://sofifa.com/team/1806/stoke-city/,Britain,FIFA11
Corinthians,1041,Série A,74,72,72,70,1500000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,9,29,26.82,23.93,https://sofifa.com/team/1041/corinthians/,Brazil,FIFA11
Eintracht Frankfurt,1824,Bundesliga,74,74,70,71,7000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,10,26,26.55,24.69,https://sofifa.com/team/1824/eintracht-frankfurt/,Germany,FIFA11
Parma,50,Serie A,74,75,69,68,8000000.0,0.0,Balanced,Little,Short,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,11,33,27.27,25.09,https://sofifa.com/team/50/parma/,Italy,FIFA11
Udinese,55,Serie A,74,73,75,72,6000000.0,0.0,Fast,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Offside trap,13,12,26,25.18,24.38,https://sofifa.com/team/55/udinese/,Italy,FIFA11
FC Dynamo Moscow,312,Premier League,74,70,68,68,18000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Offside trap,17,12,30,27.27,24.2,https://sofifa.com/team/312/fc-dynamo-moscow/,Russia,FIFA11
Cruzeiro,568,Série A,74,72,74,70,2000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,17,10,31,25.73,24.35,https://sofifa.com/team/568/cruzeiro/,Brazil,FIFA11
AS Monaco,69,Ligue 1,74,68,67,70,13200000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,16,14,34,24.73,23.56,https://sofifa.com/team/69/as-monaco/,France,FIFA11
UD Almería,1861,La Liga,74,67,69,69,5000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Lots,Double,Medium,Wide,Cover,9,8,35,24.09,23.77,https://sofifa.com/team/1861/ud-almeria/,Spain,FIFA11
São Paulo,598,Série A,74,72,73,71,3500000.0,0.0,Balanced,Little,Long,Organised,Normal,Lots,Press,Medium,Normal,Cover,19,11,31,26.36,24.61,https://sofifa.com/team/598/sao-paulo/,Brazil,FIFA11
PAOK,393,Super League,74,73,69,69,4000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,14,10,29,29.45,26.21,https://sofifa.com/team/393/paok/,Greece,FIFA11
FC Lokomotiv,100765,Premier League,74,70,70,69,12000000.0,0.0,Balanced,Little,Mixed,Free form,Lots,Normal,Press,Medium,Normal,Cover,17,11,30,25.09,23.57,https://sofifa.com/team/100765/fc-lokomotiv/,Russia,FIFA11
RCD Espanyol,452,La Liga,74,70,67,66,6000000.0,0.0,Fast,Little,Mixed,Organised,Lots,Normal,Press,Medium,Normal,Cover,16,12,35,24.36,22.83,https://sofifa.com/team/452/rcd-espanyol/,Spain,FIFA11
RCD Mallorca,453,La Liga,74,67,69,67,750000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,11,35,25.91,23.06,https://sofifa.com/team/453/rcd-mallorca/,Spain,FIFA11
Real Sporting de Gijón,459,La Liga,74,69,68,67,1400000.0,0.0,Fast,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,7,35,25.45,24.14,https://sofifa.com/team/459/real-sporting-de-gijon/,Spain,FIFA11
CA Osasuna,479,La Liga,74,65,70,69,5500000.0,0.0,Balanced,Little,Mixed,Organised,Lots,Lots,Press,Medium,Wide,Cover,12,11,35,28.82,26.06,https://sofifa.com/team/479/ca-osasuna/,Spain,FIFA11
Real Zaragoza,244,La Liga,74,69,67,67,10000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,16,11,35,27.18,24.29,https://sofifa.com/team/244/real-zaragoza/,Spain,FIFA11
Atlético Mineiro,1035,Série A,73,72,73,70,2000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,16,5,30,26.55,25.3,https://sofifa.com/team/1035/atletico-mineiro/,Brazil,FIFA11
Hércules CF,100879,La Liga,73,72,71,72,5000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,7,27,28.64,27.22,https://sofifa.com/team/100879/hercules-cf/,Spain,FIFA11
Toulouse FC,1809,Ligue 1,73,67,72,68,4000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,8,30,23.0,22.57,https://sofifa.com/team/1809/toulouse-fc/,France,FIFA11
Flamengo,1043,Série A,73,72,72,70,1500000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,20,9,28,26.91,24.32,https://sofifa.com/team/1043/flamengo/,Brazil,FIFA11
Borussia Mönchengladbach,23,Bundesliga,73,70,71,69,6000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,10,29,26.45,24.66,https://sofifa.com/team/23/borussia-monchengladbach/,Germany,FIFA11
Santos,1053,Série A,73,76,71,71,1500000.0,0.0,Fast,Little,Mixed,Free form,Normal,Lots,Press,Medium,Normal,Cover,17,8,30,24.64,22.67,https://sofifa.com/team/1053/santos/,Brazil,FIFA11
1. FC Köln,31,Bundesliga,73,70,69,69,5000000.0,0.0,Balanced,Little,Long,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,10,35,26.27,23.89,https://sofifa.com/team/31/1-fc-koln/,Germany,FIFA11
Cagliari,1842,Serie A,73,69,69,69,6000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,12,9,30,25.91,23.13,https://sofifa.com/team/1842/cagliari/,Italy,FIFA11
Fluminense,567,Série A,73,74,72,70,3500000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,16,6,30,26.91,26.33,https://sofifa.com/team/567/fluminense/,Brazil,FIFA11
SSC Bari,1848,Serie A,73,69,68,67,5000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Normal,Press,Medium,Normal,Offside trap,11,9,33,26.36,25.24,https://sofifa.com/team/1848/ssc-bari/,Italy,FIFA11
AJ Auxerre,57,Ligue 1,73,68,69,67,4000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,13,10,35,26.73,23.86,https://sofifa.com/team/57/aj-auxerre/,France,FIFA11
Málaga CF,573,La Liga,73,67,70,69,10000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,9,35,26.55,24.63,https://sofifa.com/team/573/malaga-cf/,Spain,FIFA11
Celtic,78,Premiership,73,70,71,70,13000000.0,0.0,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Wide,Cover,20,14,30,23.82,24.23,https://sofifa.com/team/78/celtic/,Scotland,FIFA11
Rangers FC,86,Premiership,73,69,61,67,7000000.0,0.0,Balanced,Little,Short,Organised,Lots,Lots,Press,Medium,Normal,Cover,20,13,30,26.45,23.93,https://sofifa.com/team/86/rangers-fc/,Scotland,FIFA11
Grêmio,1629,Série A,73,70,72,70,2000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Lots,Press,Medium,Normal,Cover,17,10,30,26.36,23.6,https://sofifa.com/team/1629/gremio/,Brazil,FIFA11
West Bromwich Albion,109,Premier League,73,71,67,70,8000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,9,28,25.91,25.32,https://sofifa.com/team/109/west-bromwich-albion/,Britain,FIFA11
Wolverhampton Wanderers,110,Premier League,73,70,67,67,8000000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,8,35,26.0,23.6,https://sofifa.com/team/110/wolverhampton-wanderers/,Britain,FIFA11
FC Twente,1908,Eredivisie,73,69,72,69,13000000.0,0.0,Balanced,Little,Mixed,Free form,Normal,Normal,Press,Medium,Normal,Cover,18,12,27,24.0,24.04,https://sofifa.com/team/1908/fc-twente/,Netherlands,FIFA11
Wigan Athletic,1917,Premier League,73,69,69,68,13200000.0,0.0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,11,10,30,24.73,24.07,https://sofifa.com/team/1917/wigan-athletic/,Britain,FIFA11
Palmeiras,383,Série A,73,70,72,69,3500000.0,0.0,Balanced,Little,Mixed,Organised,Lots,Lots,Press,Medium,Normal,Cover,18,8,29,25.45,24.14,https://sofifa.com/team/383/palmeiras/,Brazil,FIFA11
