Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Joined,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Tactical Awareness,Positioning,Vision,Penalties,Composure,Total defending,Marking,Tackling,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,Traits.1,PlayStyles,PlayStyles +,Number of traits,Acceleration Type,Unnamed: 78,href,country
,D. Suazo ST,26,83,84,Cagliari 2008,105477,"182cm / 6'0""",75kg / 165lbs,Right,83,ST,,€0,€0,€0,290,68,82,71,69,0,296,79,0,76,57,84,245,86,85,0,74,0,304,88,0,67,73,76,134,58,0,0,0,0,76,50,27,23,0,32,6,14,0,5,7,1351,410,3,1,,,2,PLAYER_BODY_TYPE_,Yes,85,81,66,80,30,68,Adaptability Ambition Leadership,,,,3,,,https://sofifa.com/player/105477/david-velasquez-suazo/070002/,Honduras
,T. Rocchi RF,28,83,85,Lazio 2010,51113,"177cm / 5'10""",71kg / 157lbs,Right,83,RF,,€0,€0,€0,290,40,88,74,88,0,284,76,0,71,48,89,242,88,68,0,86,0,329,81,0,85,84,79,144,73,0,0,0,0,71,95,34,61,0,32,9,10,0,5,8,1416,438,3,1,,,3,PLAYER_BODY_TYPE_,Yes,77,84,64,82,49,82,Adaptability Leadership Crowd favourite,,,,3,,,https://sofifa.com/player/51113/tommaso-rocchi/070002/,Italy
,J. Defoe ST,23,83,88,Tottenham Hotspur 2009,50542,"170cm / 5'7""",75kg / 165lbs,Right,83,ST,,€0,€0,€0,232,43,85,53,51,0,258,75,0,82,28,73,266,88,88,0,90,0,308,87,0,83,57,81,100,18,0,0,0,0,82,42,23,19,0,44,14,12,0,10,8,1250,376,3,1,,,3,PLAYER_BODY_TYPE_,Yes,88,84,46,77,24,57,Inflexible Ambition Leadership,,,,3,,,https://sofifa.com/player/50542/jermain-defoe/070002/,England
,K. Keller GK,36,83,89,Borussia Mönchengladbach 2007,50530,"188cm / 6'2""",86kg / 190lbs,Right,83,GK,,€0,€0,€0,78,14,12,21,31,0,201,22,0,67,76,36,198,55,60,0,83,0,177,26,0,63,77,11,122,55,0,0,0,0,67,50,28,22,0,331,85,83,0,81,82,1157,465,1,1,,,2,PLAYER_BODY_TYPE_,Yes,85,83,76,82,58,81,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/50530/kasey-keller/070002/,United States
,Pavón CB,26,83,83,Real Madrid 2008,49389,"188cm / 6'2""",83kg / 183lbs,Right,83,CB,,€0,€0,€0,236,48,43,79,66,0,245,42,0,71,63,69,231,80,80,0,71,0,283,66,0,87,84,46,148,77,0,0,0,0,71,169,87,82,0,42,13,6,0,12,11,1354,415,3,1,,,3,PLAYER_BODY_TYPE_,Yes,80,50,61,56,84,84,Leadership High training work rate,,,,2,,,https://sofifa.com/player/49389/pavon/070002/,Spain
,T. Kahlenberg CAM,23,83,90,AJ Auxerre 2009,49170,"183cm / 6'0""",72kg / 159lbs,Right,83,CAM,,€0,€0,€0,273,56,71,56,90,0,308,83,0,65,77,83,244,76,82,0,86,0,316,78,0,86,74,78,133,68,0,0,0,0,65,31,13,18,0,24,7,6,0,5,6,1329,407,4,1,,,3,PLAYER_BODY_TYPE_,Yes,79,74,76,83,19,76,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/49170/thomas-kahlenberg/070002/,Denmark
,D. Forlán ST,27,83,88,Villarreal CF 2009,49072,"179cm / 5'10""",75kg / 165lbs,Right,83,ST,,€0,€0,€0,304,57,92,88,67,0,249,71,0,81,23,74,246,82,82,0,82,0,305,88,0,66,78,73,154,73,0,0,0,0,81,54,20,34,0,32,9,8,0,7,8,1344,402,4,1,,,2,PLAYER_BODY_TYPE_,Yes,82,86,55,74,32,73,Leadership Media darling,,,,2,,,https://sofifa.com/player/49072/diego-forlan/070002/,Uruguay
,M. Pedersen LM,24,83,87,Blackburn Rovers 2009,46857,"180cm / 5'11""",71kg / 157lbs,Left,83,LM,,€0,€0,€0,333,85,87,79,82,0,320,82,0,86,69,83,237,79,76,0,82,0,305,59,0,79,80,87,160,74,0,0,0,0,86,126,72,54,0,33,10,6,0,7,10,1514,465,4,1,,,2,PLAYER_BODY_TYPE_,Yes,77,81,80,82,66,79,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/46857/morten-gamst-pedersen/070002/,Norway
,F. Malouda LW,26,83,90,Olympique Lyonnais 2010,45601,"184cm / 6'0""",73kg / 161lbs,Left,83,CF,,€0,€0,€0,324,81,77,84,82,0,329,85,0,82,79,83,261,89,90,0,82,0,321,87,0,77,73,84,160,78,0,0,0,0,82,131,68,63,0,40,8,11,0,11,10,1566,479,3,1,,,4,PLAYER_BODY_TYPE_,Yes,90,81,81,84,68,75,Leadership High club identification,,,,2,,,https://sofifa.com/player/45601/florent-malouda/070002/,France
,D. Bonera CB,25,83,83,AC Milan 2010,45595,"183cm / 6'0""",74kg / 163lbs,Right,84,CB,,€0,€0,€0,277,81,33,76,87,0,310,77,0,85,74,74,231,82,87,0,62,0,276,76,0,82,79,39,167,82,0,0,0,0,85,176,85,91,0,45,12,8,0,11,14,1482,455,3,1,,,3,PLAYER_BODY_TYPE_,Yes,85,46,82,74,87,81,Leadership,,,,1,,,https://sofifa.com/player/45595/daniele-bonera/070002/,Italy
,V. Ismaël CB,30,83,86,FC Bayern München 2008,45367,"191cm / 6'3""",81kg / 179lbs,Right,83,CB,,€0,€0,€0,234,50,39,88,57,0,265,41,0,88,69,67,240,77,82,0,81,0,292,84,0,75,85,48,177,89,0,0,0,0,88,170,83,87,0,41,7,7,0,13,14,1419,418,3,1,,,3,PLAYER_BODY_TYPE_,Yes,80,53,61,56,85,83,Leadership,,,,1,,,https://sofifa.com/player/45367/valerien-ismael/070002/,France
,J. Tomasson ST,29,83,86,Villarreal CF 2007,44900,"182cm / 6'0""",73kg / 161lbs,Right,83,ST,,€0,€0,€0,325,80,87,83,75,0,282,76,0,81,47,78,253,80,85,0,88,0,316,82,0,85,80,69,160,79,0,0,0,0,81,51,27,24,0,32,8,10,0,8,6,1419,425,4,1,,,4,PLAYER_BODY_TYPE_,Yes,83,81,70,79,31,81,Leadership Crowd favourite Media darling,,,,3,,,https://sofifa.com/player/44900/jon-dahl-tomasson/070002/,Denmark
,Ronaldo ST,29,83,93,AC Milan 2008,37576,"183cm / 6'0""",90kg / 198lbs,Right,83,ST,,€0,€0,€0,289,54,92,70,73,0,299,87,0,88,38,86,248,93,78,0,77,0,290,90,0,35,82,83,153,65,0,0,0,0,88,14,4,10,0,38,10,12,0,7,9,1331,398,4,1,,,5,PLAYER_BODY_TYPE_,Yes,85,89,61,85,13,65,Inflexible Leadership Media darling,,,,3,,,https://sofifa.com/player/37576/ronaldo/070002/,Brazil
,A. Cole LB,25,83,89,Chelsea 2008,34079,"173cm / 5'8""",67kg / 148lbs,Left,85,LB,,€0,€0,€0,262,81,32,73,76,0,298,73,0,88,59,78,263,85,91,0,87,0,221,23,0,94,81,23,142,54,0,0,0,0,88,172,82,90,0,31,7,8,0,9,7,1389,434,3,1,,,4,PLAYER_BODY_TYPE_,Yes,88,31,74,77,84,80,Ambition Leadership Media darling,,,,3,,,https://sofifa.com/player/34079/ashley-cole/070002/,England
,S. Chipperfield LM,30,83,81,FC Basel 1893 2009,33674,"180cm / 5'11""",80kg / 176lbs,Left,83,CF,,€0,€0,€0,321,82,77,72,90,0,293,77,0,75,62,79,229,70,82,0,77,0,320,77,0,89,75,79,145,70,0,0,0,0,75,153,74,79,0,45,12,8,0,13,12,1506,466,3,1,,,3,PLAYER_BODY_TYPE_,Yes,77,77,80,78,76,78,Leadership Flexibility,,,,2,,,https://sofifa.com/player/33674/scott-chipperfield/070002/,Australia
,T. Borowski CM,26,83,88,SV Werder Bremen 2008,30630,"194cm / 6'4""",84kg / 185lbs,Right,83,CM,,€0,€0,€0,304,65,72,82,85,0,305,70,0,70,82,83,225,69,75,0,81,0,347,93,0,85,84,85,139,69,0,0,0,0,70,151,67,84,0,33,11,7,0,9,6,1504,461,5,1,,,3,PLAYER_BODY_TYPE_,Yes,72,79,78,76,75,81,Leadership High club identification,,,,2,,,https://sofifa.com/player/30630/tim-borowski/070002/,Germany
,D. Prso ST,31,83,87,Rangers FC 2008,30308,"190cm / 6'3""",86kg / 190lbs,Right,83,ST,,€0,€0,€0,312,62,86,86,78,0,288,77,0,72,57,82,228,79,80,0,69,0,314,85,0,74,87,68,93,21,0,0,0,0,72,62,35,27,0,67,18,17,0,14,18,1364,414,3,1,,,2,PLAYER_BODY_TYPE_,Yes,80,81,68,78,37,70,Leadership,,,,1,,,https://sofifa.com/player/30308/dado-prso/070002/,Croatia
,Yeste CAM,26,83,87,Athletic Club 2010,22499,"183cm / 6'0""",69kg / 152lbs,Left,85,CF,,€0,€0,€0,337,87,86,81,83,0,312,80,0,70,75,87,250,83,82,0,85,0,330,82,0,84,78,86,152,82,0,0,0,0,70,108,55,53,0,38,9,10,0,7,12,1527,468,3,1,,,3,PLAYER_BODY_TYPE_,Yes,82,84,81,83,57,81,Leadership Scandal prone,,,,2,,,https://sofifa.com/player/22499/yeste/070002/,Spain
,M. Carrick CM,24,83,90,Manchester United 2010,21146,"183cm / 6'0""",74kg / 163lbs,Right,83,CM,,€0,€0,€0,297,78,69,62,88,0,330,65,0,90,89,86,237,74,78,0,85,0,316,77,0,86,74,79,159,69,0,0,0,0,90,157,77,80,0,44,9,10,0,11,14,1540,465,4,1,,,3,PLAYER_BODY_TYPE_,Yes,76,74,86,75,77,77,Leadership,,,,1,,,https://sofifa.com/player/21146/michael-carrick/070002/,England
,A. Isaksson GK,24,83,90,Manchester City 2009,20551,"199cm / 6'6""",88kg / 194lbs,Right,83,GK,,€0,€0,€0,60,10,8,11,31,0,193,9,0,73,77,34,223,84,68,0,71,0,162,32,0,54,65,11,144,71,0,0,0,0,73,14,6,8,0,336,90,81,0,80,85,1132,488,3,1,,,3,PLAYER_BODY_TYPE_,Yes,90,81,77,85,75,80,Ambition Leadership,,,,2,,,https://sofifa.com/player/20551/andreas-isaksson/070002/,Sweden
,S. Hyypiä CB,32,83,85,Liverpool 2008,19977,"193cm / 6'4""",85kg / 187lbs,Right,83,CB,,€0,€0,€0,220,39,47,91,43,0,246,51,0,85,51,59,215,66,61,0,88,0,242,54,0,77,89,22,167,82,0,0,0,0,85,168,84,84,0,43,12,11,0,14,6,1301,383,3,1,,,2,PLAYER_BODY_TYPE_,Yes,63,44,48,59,85,84,Leadership High club identification,,,,2,,,https://sofifa.com/player/19977/sami-hyypia/070002/,Finland
,M. van Bommel CM,29,83,84,FC Bayern München 2009,19765,"187cm / 6'2""",85kg / 187lbs,Right,86,ST,,€0,€0,€0,333,76,85,85,87,0,311,82,0,80,68,81,232,83,78,0,71,0,359,89,0,94,92,84,162,82,0,0,0,0,80,155,85,70,0,64,19,14,0,14,17,1616,494,3,1,,,4,PLAYER_BODY_TYPE_,Yes,80,85,79,80,79,91,Leadership,,,,1,,,https://sofifa.com/player/19765/mark-van-bommel/070002/,Netherlands
,D. Kuyt ST,25,83,86,Liverpool 2010,15723,"184cm / 6'0""",77kg / 170lbs,Right,83,ST,,€0,€0,€0,316,71,86,81,78,0,298,76,0,78,68,76,230,82,76,0,72,0,341,84,0,91,89,77,162,84,0,0,0,0,78,136,64,72,0,32,11,6,0,7,8,1515,469,4,1,,,3,PLAYER_BODY_TYPE_,Yes,79,83,74,75,69,89,Adaptability Leadership,,,,2,,,https://sofifa.com/player/15723/dirk-kuyt/070002/,Netherlands
,P. Aimar CAM,26,83,89,Real Zaragoza 2010,10959,"170cm / 5'7""",62kg / 137lbs,Right,85,CF,,€0,€0,€0,290,82,69,52,87,0,339,87,0,81,81,90,252,82,84,0,86,0,278,67,0,72,61,78,121,40,0,0,0,0,81,51,18,33,0,42,6,13,0,13,10,1373,413,4,1,,,4,PLAYER_BODY_TYPE_,Yes,83,71,84,88,27,60,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/10959/pablo-cesar-aimar/070002/,Argentina
,I. Klasnic ST,26,83,87,SV Werder Bremen 2007,10133,"186cm / 6'1""",79kg / 174lbs,Left,83,ST,,€0,€0,€0,320,78,82,86,74,0,250,80,0,65,21,84,252,82,84,0,86,0,313,86,0,72,77,78,140,75,0,0,0,0,65,49,17,32,0,35,10,8,0,10,7,1359,412,3,1,,,2,PLAYER_BODY_TYPE_,Yes,83,81,61,82,30,75,Leadership,,,,1,,,https://sofifa.com/player/10133/ivan-klasnic/070002/,Croatia
,A. Cassano ST,23,83,90,Real Madrid 2011,7631,"175cm / 5'9""",81kg / 179lbs,Right,83,ST,,€0,€0,€0,280,56,87,63,74,0,268,77,0,76,33,82,232,82,74,0,76,0,310,87,0,76,66,81,138,62,0,0,0,0,76,35,14,21,0,37,8,8,0,8,13,1300,391,4,1,,,4,PLAYER_BODY_TYPE_,Yes,78,85,59,79,22,68,Leadership,,,,1,,,https://sofifa.com/player/7631/antonio-cassano/070002/,Italy
,O. Monterrubio CAM,29,83,88,RC Lens 2007,6550,"170cm / 5'7""",64kg / 141lbs,Left,83,CAM,,€0,€0,€0,285,72,74,49,90,0,316,83,0,75,77,81,250,83,88,0,79,0,286,82,0,76,48,80,147,72,0,0,0,0,75,34,10,24,0,32,7,11,0,6,8,1350,407,3,1,,,3,PLAYER_BODY_TYPE_,Yes,86,77,81,82,20,61,Leadership,,,,1,,,https://sofifa.com/player/6550/olivier-monterrubio/070002/,France
,I. Tudor CB,28,83,86,Juventus 2008,6007,"193cm / 6'4""",90kg / 198lbs,Right,83,CB,,€0,€0,€0,294,57,79,88,70,0,264,60,0,60,76,68,191,44,60,0,87,0,312,77,0,79,85,71,146,86,0,0,0,0,60,168,84,84,0,38,5,11,0,9,13,1413,430,3,1,,,2,PLAYER_BODY_TYPE_,Yes,53,76,67,67,84,83,Leadership,,,,1,,,https://sofifa.com/player/6007/igor-tudor/070002/,Croatia
,Cafu RB,36,83,88,AC Milan 2007,5003,"176cm / 5'9""",75kg / 165lbs,Right,86,CF,,€0,€0,€0,268,85,20,81,82,0,318,82,0,92,59,85,230,82,79,0,69,0,266,61,0,91,55,59,162,70,0,0,0,0,92,174,89,85,0,40,13,12,0,8,7,1458,437,3,1,,,4,PLAYER_BODY_TYPE_,Yes,80,42,78,81,87,69,Leadership,,,,1,,,https://sofifa.com/player/5003/cafu/070002/,Brazil
,S. Perrotta CM,28,83,86,Roma 2008,4731,"178cm / 5'10""",72kg / 159lbs,Right,85,CF,,€0,€0,€0,326,85,79,79,83,0,323,80,0,82,76,85,239,84,83,0,72,0,320,81,0,95,71,73,162,80,0,0,0,0,82,146,61,85,0,34,10,9,0,6,9,1550,476,3,1,,,3,PLAYER_BODY_TYPE_,Yes,83,78,82,81,72,80,Leadership,,,,1,,,https://sofifa.com/player/4731/simone-perrotta/070002/,Italy
,Tiago CM,25,83,90,Olympique Lyonnais 2009,4098,"183cm / 6'0""",75kg / 165lbs,Right,83,CM,,€0,€0,€0,305,74,63,83,85,0,325,72,0,85,82,86,243,85,78,0,80,0,323,84,0,91,72,76,167,82,0,0,0,0,85,150,70,80,0,29,6,8,0,8,7,1542,468,3,1,,,4,PLAYER_BODY_TYPE_,Yes,81,72,82,78,75,80,Leadership,,,,1,,,https://sofifa.com/player/4098/tiago/070002/,Portugal
,Simao LW,26,83,84,SL Benfica 2010,4077,"170cm / 5'7""",64kg / 141lbs,Right,83,CF,,€0,€0,€0,273,86,74,33,80,0,310,87,0,80,67,76,262,86,88,0,88,0,280,74,0,80,48,78,149,69,0,0,0,0,80,58,31,27,0,44,8,13,0,14,9,1376,415,5,1,,,4,PLAYER_BODY_TYPE_,Yes,87,75,78,83,30,62,Leadership,,,,1,,,https://sofifa.com/player/4077/simao/070002/,Portugal
,L. Saha ST,27,83,86,Manchester United 2008,3912,"181cm / 5'11""",72kg / 159lbs,Left,83,ST,,€0,€0,€0,301,69,82,86,64,0,296,81,0,79,54,82,263,91,90,0,82,0,310,82,0,83,74,71,154,75,0,0,0,0,79,89,38,51,0,32,5,6,0,7,14,1445,440,4,1,,,3,PLAYER_BODY_TYPE_,Yes,90,79,64,82,48,77,Leadership,,,,1,,,https://sofifa.com/player/3912/louis-saha/070002/,France
,S. Wright-Phillips RW,24,83,88,Chelsea 2010,3395,"168cm / 5'6""",71kg / 157lbs,Right,83,CF,,€0,€0,€0,281,82,69,54,76,0,324,82,0,85,71,86,260,89,86,0,85,0,297,69,0,89,68,71,124,39,0,0,0,0,85,96,49,47,0,37,7,8,0,11,11,1419,436,3,1,,,4,PLAYER_BODY_TYPE_,Yes,87,70,77,84,49,69,Leadership,,,,1,,,https://sofifa.com/player/3395/shaun-wright-phillips/070002/,England
,H. Kewell LW,27,83,89,Liverpool 2007,2904,"183cm / 6'0""",74kg / 163lbs,Left,83,CF,,€0,€0,€0,327,87,80,76,84,0,323,85,0,82,72,84,248,82,83,0,83,0,259,78,0,61,43,77,105,23,0,0,0,0,82,36,10,26,0,34,7,7,0,12,8,1332,395,3,1,,,4,PLAYER_BODY_TYPE_,Yes,83,79,82,84,23,44,Injury prone Leadership,,,,2,,,https://sofifa.com/player/2904/harry-kewell/070002/,Australia
,M. Kezman ST,27,83,85,Fenerbahçe SK 2010,1678,"180cm / 5'11""",74kg / 163lbs,Right,83,ST,,€0,€0,€0,288,52,82,80,74,0,275,73,0,75,43,84,254,82,88,0,84,0,314,83,0,87,73,71,114,39,0,0,0,0,75,70,41,29,0,34,7,7,0,11,9,1349,414,3,1,,,1,PLAYER_BODY_TYPE_,Yes,85,79,61,79,40,70,Adaptability Leadership,,,,2,,,https://sofifa.com/player/1678/mateja-kezman/070002/,Serbia
,A. Peruzzi GK,36,83,88,Lazio 2009,1056,"181cm / 5'11""",88kg / 194lbs,Right,83,GK,,€0,€0,€0,124,24,39,28,33,0,234,28,0,89,87,30,155,36,36,0,83,0,129,14,0,51,52,12,138,49,0,0,0,0,89,45,27,18,0,345,79,83,0,94,89,1170,468,3,1,,,3,PLAYER_BODY_TYPE_,Yes,79,83,87,89,36,94,Leadership,,,,1,,,https://sofifa.com/player/1056/angelo-peruzzi/070002/,Italy
,Roberto Carlos LWB,33,83,89,Real Madrid 2007,1040,"168cm / 5'6""",70kg / 154lbs,Left,83,LWB,,€0,€0,€0,259,79,46,54,80,0,303,78,0,70,71,84,249,85,82,0,82,0,325,94,0,77,66,88,152,82,0,0,0,0,70,169,87,82,0,30,8,8,0,7,7,1487,463,3,1,,,4,PLAYER_BODY_TYPE_,Yes,83,67,77,81,82,73,Leadership High club identification Media darling,,,,3,,,https://sofifa.com/player/1040/roberto-carlos/070002/,Brazil
,R. Muzzi CF,34,83,82,Torino 2006,981,"176cm / 5'9""",74kg / 163lbs,Right,83,CF,,€0,€0,€0,257,26,82,81,68,0,296,78,0,78,56,84,230,78,74,0,78,0,309,84,0,86,84,55,164,86,0,0,0,0,78,100,44,56,0,33,8,6,0,11,8,1389,425,3,1,,,3,PLAYER_BODY_TYPE_,Yes,76,75,56,80,53,85,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/981/roberto-muzzi/070002/,Italy
,F. Kanouté ST,28,83,82,Sevilla FC 2009,552,"192cm / 6'4""",82kg / 181lbs,Right,83,ST,,€0,€0,€0,253,42,86,74,51,0,245,74,0,78,16,77,236,84,88,0,64,0,329,84,0,82,85,78,96,18,0,0,0,0,78,37,18,19,0,36,8,11,0,9,8,1232,381,4,1,,,2,PLAYER_BODY_TYPE_,Yes,86,83,43,74,24,71,Leadership,,,,1,,,https://sofifa.com/player/552/frederic-kanoute/070002/,Mali
,Iniesta CM,22,83,90,FC Barcelona 2010,41,"169cm / 5'7""",64kg / 141lbs,Right,83,CM,,€0,€0,€0,301,76,68,68,89,0,334,81,0,81,88,84,253,86,88,0,79,0,296,72,0,76,71,77,152,71,0,0,0,0,81,143,67,76,0,54,15,16,0,11,12,1533,470,3,1,,,3,PLAYER_BODY_TYPE_,Yes,87,72,85,82,71,73,Leadership High training work rate,,,,2,,,https://sofifa.com/player/41/iniesta/070002/,Spain
,J. Lastuvka GK,23,82,82,Fulham FC 2009,162685,"191cm / 6'3""",87kg / 192lbs,Right,82,GK,,€0,€0,€0,55,15,12,6,22,0,171,10,0,66,61,34,201,72,66,0,63,0,192,51,0,56,78,7,133,67,0,0,0,0,66,30,15,15,0,326,84,79,0,79,84,1108,456,3,1,,,2,PLAYER_BODY_TYPE_,Yes,84,79,61,84,69,79,Leadership,,,,1,,,https://sofifa.com/player/162685/jan-lastuvka/070002/,Czechia
,De la Peña CM,30,82,88,RCD Espanyol 2007,157468,"173cm / 5'8""",73kg / 161lbs,Right,87,CF,,€0,€0,€0,282,89,68,32,93,0,340,83,0,76,92,89,233,78,83,0,72,0,302,77,0,73,77,75,151,75,0,0,0,0,76,76,41,35,0,46,6,14,0,14,12,1430,439,4,1,,,3,PLAYER_BODY_TYPE_,Yes,81,72,90,83,38,75,Leadership Media darling,,,,2,,,https://sofifa.com/player/157468/de-la-pena/070002/,Spain
,L. Perea CB,27,82,84,Atlético Madrid 2009,155813,"180cm / 5'11""",76kg / 168lbs,Right,82,CB,,€0,€0,€0,240,56,31,84,69,0,250,46,0,79,58,67,239,80,76,0,83,0,283,52,0,82,85,64,162,83,0,0,0,0,79,167,81,86,0,30,7,10,0,6,7,1371,414,3,1,,,2,PLAYER_BODY_TYPE_,Yes,78,46,64,59,83,84,Ambition Leadership High training work rate,,,,3,,,https://sofifa.com/player/155813/luis-amaranto-perea/070002/,Colombia
,V. Iaquinta ST,26,82,85,Udinese 2007,24332,"185cm / 6'1""",77kg / 170lbs,Right,82,ST,,€0,€0,€0,325,77,85,91,72,0,253,68,0,67,39,79,232,81,79,0,72,0,312,89,0,68,70,85,149,82,0,0,0,0,67,71,37,34,0,37,10,5,0,7,15,1379,415,3,1,,,3,PLAYER_BODY_TYPE_,Yes,80,85,65,72,41,72,Ambition Leadership,,,,2,,,https://sofifa.com/player/24332/vincenzo-iaquinta/070002/,Italy
,B. Ferguson CM,28,82,83,Rangers FC 2008,43020,"178cm / 5'10""",74kg / 163lbs,Right,82,CM,,€0,€0,€0,298,78,80,55,85,0,314,69,0,84,79,82,200,65,63,0,72,0,328,77,0,88,88,75,176,92,0,0,0,0,84,144,65,79,0,75,17,16,0,18,24,1535,457,3,1,,,3,PLAYER_BODY_TYPE_,Yes,64,78,82,74,70,89,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/43020/barry-ferguson/070002/,Scotland
,T. Wiese GK,24,82,85,SV Werder Bremen 2008,53012,"193cm / 6'4""",91kg / 201lbs,Right,82,GK,,€0,€0,€0,59,6,11,7,35,0,131,8,0,41,54,28,167,37,42,0,88,0,163,28,0,43,81,11,121,80,0,0,0,0,41,16,7,9,0,325,82,75,0,80,88,982,419,3,1,,,3,PLAYER_BODY_TYPE_,Yes,82,75,54,88,40,80,Leadership High training work rate,,,,2,,,https://sofifa.com/player/53012/tim-wiese/070002/,Germany
,J. Rothen LW,28,82,86,Paris Saint-Germain 2008,1046,"177cm / 5'10""",74kg / 163lbs,Left,82,CF,,€0,€0,€0,287,83,63,62,79,0,302,80,0,81,62,79,236,80,83,0,73,0,297,72,0,92,66,67,151,70,0,0,0,0,81,61,30,31,0,36,7,13,0,5,11,1370,413,1,1,,,3,PLAYER_BODY_TYPE_,Yes,82,67,76,79,34,75,Leadership,,,,1,,,https://sofifa.com/player/1046/jerome-rothen/070002/,France
,S. Wiltord RW,32,82,89,Olympique Lyonnais 2008,11031,"174cm / 5'9""",76kg / 168lbs,Right,84,CF,,€0,€0,€0,326,82,86,76,82,0,317,80,0,86,65,86,234,80,74,0,80,0,318,84,0,80,78,76,162,76,0,0,0,0,86,59,14,45,0,29,9,8,0,8,4,1445,431,4,1,,,3,PLAYER_BODY_TYPE_,Yes,77,83,78,82,33,78,Leadership Flexibility High club identification,,,,3,,,https://sofifa.com/player/11031/sylvain-wiltord/070002/,France
,M. Upson CB,27,82,83,West Ham United 2007,50713,"185cm / 6'1""",71kg / 157lbs,Left,82,CB,,€0,€0,€0,179,43,16,78,42,0,215,54,0,71,20,70,235,80,82,0,73,0,240,20,0,85,84,51,151,80,0,0,0,0,71,169,85,84,0,34,10,8,0,10,6,1223,379,3,1,,,3,PLAYER_BODY_TYPE_,Yes,81,28,40,62,84,84,Leadership,,,,1,,,https://sofifa.com/player/50713/matthew-upson/070002/,England
,De la Peña CM,30,82,88,RCD Espanyol 2007,157468,"173cm / 5'8""",73kg / 161lbs,Right,87,CF,,€0,€0,€0,282,89,68,32,93,0,340,83,0,76,92,89,233,78,83,0,72,0,302,77,0,73,77,75,151,75,0,0,0,0,76,76,41,35,0,46,6,14,0,14,12,1430,439,4,1,,,3,PLAYER_BODY_TYPE_,Yes,81,72,90,83,38,75,Leadership Media darling,,,,2,,,https://sofifa.com/player/157468/de-la-pena/070002/,Spain
,F. Morientes ST,30,82,81,Valencia CF 2009,5661,"186cm / 6'1""",79kg / 174lbs,Right,82,ST,,€0,€0,€0,315,65,90,82,78,0,296,72,0,84,63,77,210,71,74,0,65,0,324,83,0,80,84,77,161,77,0,0,0,0,84,67,38,29,0,35,6,11,0,12,6,1408,423,4,1,,,4,PLAYER_BODY_TYPE_,Yes,73,85,72,73,39,81,Adaptability Leadership Low club identification,,,,3,,,https://sofifa.com/player/5661/fernando-morientes/070002/,Spain
,Gilberto Silva CM,29,82,86,Arsenal 2009,47390,"188cm / 6'2""",80kg / 176lbs,Right,82,CM,,€0,€0,€0,307,68,68,82,89,0,314,77,0,82,78,77,243,79,78,0,86,0,276,65,0,86,80,45,166,84,0,0,0,0,82,163,86,77,0,41,13,13,0,6,9,1510,463,4,1,,,3,PLAYER_BODY_TYPE_,Yes,78,62,80,78,82,83,Leadership,,,,1,,,https://sofifa.com/player/47390/gilberto-silva/070002/,Brazil
,S. Rolfes CDM,24,82,86,Bayer 04 Leverkusen 2008,121122,"189cm / 6'2""",79kg / 174lbs,Left,82,CDM,,€0,€0,€0,306,76,67,76,87,0,308,75,0,78,72,83,224,77,79,0,68,0,291,64,0,88,76,63,150,72,0,0,0,0,78,150,68,82,0,41,9,9,0,9,14,1470,454,4,1,,,3,PLAYER_BODY_TYPE_,Yes,78,66,80,77,74,79,Leadership,,,,1,,,https://sofifa.com/player/121122/simon-rolfes/070002/,Germany
,Marchena CB,26,82,84,Valencia CF 2008,11576,"183cm / 6'0""",78kg / 172lbs,Right,82,CB,,€0,€0,€0,270,67,56,76,71,0,265,55,0,72,70,68,244,81,82,0,81,0,309,65,0,80,87,77,153,81,0,0,0,0,72,173,87,86,0,49,10,14,0,14,11,1463,449,5,1,,,3,PLAYER_BODY_TYPE_,Yes,82,64,70,63,86,84,Leadership Flexibility,,,,2,,,https://sofifa.com/player/11576/marchena/070002/,Spain
